Subject,Start Date,Start Time,End Date,End Time,Description,Location,Icon,Importance
Meeting:Meet supervisor,14/04/15,11:00:00,14/04/15,12:00:00,Present work and progress,University,5,2
Meeting:Meet supervisor,21/04/15,11:00:00,21/04/15,12:00:00,Present work and progress,University,5,1
Meeting:Meet supervisor,26/05/15,11:00:00,26/05/15,12:00:00,Present work and progress,University,5,3
Meeting:Meet supervisor,02/06/15,11:00:00,02/06/15,12:00:00,Present work and progress,University,5,2
Meeting:Meet supervisor,09/06/15,11:00:00,09/06/15,12:00:00,Present work and progress,University,5,3
Meeting:Interview RED,23/06/15,14:00:00,23/06/15,15:00:00,Interview with company RED,Town,5,3
Meeting:Presentation,30/06/15,19:35:00,30/06/15,19:35:00,Present work and progress,University,5,1
Meeting:Interview RED,07/07/15,14:00:00,07/07/15,15:00:00,Follow-up interview,Town,5,2
Meeting:Meet supervisor,21/07/15,11:00:00,21/07/15,12:00:00,Present work and progress,University,5,1
Meeting:Meet supervisor,28/07/15,11:00:00,28/07/15,12:00:00,Present work and progress,University,5,3
Meeting:Meet supervisor,11/08/15,11:00:00,11/08/15,12:00:00,Present work and progress,University,5,2
Work:Demo Progress,04/05/15,11:00:00,04/05/15,12:00:00,Demonstrate progress,University,3,1
Memo:Football,07/05/15,19:35:00,07/05/15,19:35:00,Arrange a game,Sports centre,2,2
Memo:Buy pencils,15/05/15,19:35:00,18/05/15,19:35:00,Buy some HB pencils,Shopping centre,2,1
Birthday:Happy Birthday!,21/05/15,09:00:00,21/05/15,24:00:00,It's my birthday!,Home,1,1
Holiday:Short break,25/05/15,11:00:00,25/05/15,12:00:00,Catchup on sleep,Home,4,1
Work:Demo Progress,28/05/15,11:00:00,28/05/15,12:00:00,Present work and progress,University,3,3
Memo:Submit homework,05/06/15,19:35:00,05/06/15,19:35:00,Don't forget to submit work,Home,2,3
Birthday:Freddies!,07/06/15,19:35:00,07/06/15,19:35:00,Buy a gift,Town,1,3
Work:Demo Progress,24/06/15,11:00:00,14/04/15,12:00:00,Present work and progress,University,3,1
Work:Demo Progress,07/07/15,11:00:00,07/06/15,19:35:00,Present work and progress,University,3,2
Holiday:Short break,24/07/15,19:35:00,27/07/15,19:35:00,Catchup on sleep,Home,4,1
Work:Demo Progress,30/07/15,11:00:00,30/07/15,12:00:00,Demonstrate progress,University,3,1
